trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
20355,66,3,62,-1.9,-11.78,-58.21,-306.08,253,320,133,337,1,4,200,-99.1623470457217,-90,90
30363,66,3,72,-9.13,21.44,-234,524.08,-9,232,129,254,1,4,500,113.066223196313,-90,90
30410,66,3,62,0.83,-12.37,22.97,-324.83,63,149,140,183,1,4,400,-86.1613320651648,-90,90
30479,66,3,66,1.3,-10.74,29.1,-259.23,271,361,130,370,1,4,0,-83.0983322679362,-90,90
40493,66,3,56,-4.6,-10.54,-130.33,-291.06,259,264,108,272,1,4,400,-113.578027215067,-90,90
40557,66,3,66,-1.43,-17.9,-58.76,-451.55,247,321,129,338,1,4,400,-94.5675601510904,-90,90
40599,66,3,64,-2.78,-19.28,-91.44,-497.72,187,231,117,236,4,1,500,-98.2049770052489,-90,90
50640,66,3,64,1.55,-11.98,30.33,-300.81,265,344,111,355,4,1,100,-82.6278938244861,-90,90
50673,66,3,62,-1.35,-12.23,-46.74,-325.01,251,333,118,337,1,4,300,-96.2990531570266,-90,90
50715,66,3,62,0.28,-12.48,-1.56,-326.28,63,227,113,253,4,1,500,-88.7147333930617,-90,90
60749,66,3,64,0.19,-10.22,-7.68,-256.69,141,206,103,209,1,4,200,-88.9349369681006,-90,90
60767,66,3,64,0.8,-11.02,27.2,-281.96,233,315,117,331,1,4,100,-85.8478805395956,-90,90
22,66,4,66,-16.47,-14.83,-429.92,-380.36,239,307,175,368,4,1,500,-137.999336437704,-135,45
43,66,4,64,-16.32,-17.32,-429.26,-442.35,235,297,165,337,4,1,100,-133.297297512405,-135,45
84,66,4,70,-19.5,-17.86,-491.65,-435.74,-11,209,144,223,4,1,500,-137.513511570216,-135,45
10151,66,4,70,-19.17,-18.04,-480.12,-462.63,243,327,178,342,1,4,300,-136.739433993802,-135,45
10198,66,4,64,-21.25,-14.18,-555.74,-365.44,269,319,158,356,4,1,300,-146.285051016671,-135,45
10229,66,4,68,-16.82,-14.81,-436.74,-364.01,239,307,152,345,4,1,400,-138.636100857565,-135,45
20242,66,4,68,-14.69,-14.03,-380.23,-344.08,261,317,198,360,4,1,300,-136.316454032223,-135,45
20308,66,4,70,-14.98,-13.96,605.71,627.28,201,276,155,298,4,1,500,-137.018573383231,-135,45
20358,66,4,66,-16.59,-14.17,-431.41,-349.84,255,326,134,367,4,1,0,-139.498399625896,-135,45
30364,66,4,70,-16.25,-17.35,480.19,461.22,243,318,160,336,4,1,200,-133.124915016867,-135,45
30405,66,4,72,-15.65,-16.63,-386.03,-400.09,227,247,158,319,4,1,500,-133.261071173328,-135,45
30477,66,4,64,-18.47,-16.67,-484.55,-443.01,253,308,151,319,4,1,300,-137.932337593288,-135,45
40481,66,4,70,-17.58,-16.45,-448.17,-411.58,249,297,160,331,4,1,100,-136.901864534112,-135,45
40531,66,4,68,-15.92,-18.28,-416.94,-470.3,241,317,143,355,4,1,0,-131.052513936359,-135,45
40600,66,4,66,-15.4,-13.46,-393.34,-327.03,237,274,156,306,4,1,100,-138.845697927122,-135,45
50628,66,4,68,-14.44,-16.41,-368.01,-430.93,255,310,151,361,4,1,100,-131.346203008451,-135,45
50672,66,4,68,-16.37,-16.74,-409.27,-411.43,43,127,173,183,4,1,400,-134.359753668383,-135,45
50714,66,4,68,-16.05,-9.79,-398.19,-233.58,249,319,152,341,4,1,400,-148.618109825479,-135,45
